production_id,plant_id,production_date,product_code,target_strength_mpa,volume_m3,cement_kg_m3,water_l_m3,fine_aggregate_kg_m3,coarse_aggregate_kg_m3,moisture_pct,process_efficiency,material_cost_cad
PRD0000100,PLT001,2025-02-05,C40,40,111.84,373.16,161.02,746.1,981.6,6.52,0.9705,25687.41
PRD0000101,PLT001,2025-02-05,C25,25,110.27,252.18,179.8,765.07,987.2,4.98,0.9121,20847.26
PRD0000102,PLT001,2025-02-06,C40,40,149.55,363.78,155.67,782.36,1020.34,4.8,0.9115,34850.55
PRD0000103,PLT001,2025-02-06,C25,25,106.68,249.28,179.51,741.35,982.49,5.11,0.9237,20111.7
PRD0000104,PLT001,2025-02-06,C25,25,133.3,262.07,181.52,785.65,1021.17,3.49,0.8721,25449.76
PRD0000105,PLT001,2025-02-06,C35,35,138.32,331.3,167.19,787.5,1016.03,3.01,0.8988,30065.78
PRD0000106,PLT001,2025-02-07,C40,40,115.56,366.46,161.09,747.4,1001.16,4.87,0.8959,27033.99
PRD0000107,PLT001,2025-02-07,C30,30,99.41,300.17,175.12,795.94,985.14,1.96,0.8448,20447.27
PRD0000108,PLT001,2025-02-08,C25,25,55.0,255.48,176.42,769.9,1066.84,3.15,0.8967,10437.75
PRD0000109,PLT001,2025-02-08,C35,35,102.82,330.21,175.01,795.69,1075.12,4.1,0.9767,21925.41
PRD0000110,PLT001,2025-02-08,C40,40,112.88,370.81,158.55,769.14,1115.37,5.52,0.8852,26475.75
PRD0000111,PLT001,2025-02-08,C40,40,99.23,367.02,161.7,782.72,1020.93,4.83,0.9105,23129.67
PRD0000112,PLT001,2025-02-08,C25,25,124.66,255.84,183.32,735.45,976.73,4.43,0.9129,23564.92
PRD0000113,PLT001,2025-02-10,C30,30,97.13,300.38,167.43,758.84,1028.37,3.29,0.9353,19543.13
PRD0000114,PLT001,2025-02-10,C35,35,66.91,331.35,171.79,759.69,1013.37,4.38,0.909,14507.77
PRD0000115,PLT001,2025-02-10,C35,35,84.22,314.99,161.18,732.67,1028.67,5.99,0.8949,18323.02
PRD0000116,PLT001,2025-02-11,C35,35,97.73,325.94,164.55,749.79,1021.16,4.13,0.9467,20994.69
PRD0000117,PLT001,2025-02-11,C35,35,120.54,339.53,165.51,721.61,1031.69,4.62,0.9048,26161.4
PRD0000118,PLT001,2025-02-11,C30,30,105.04,302.38,177.22,728.07,1022.1,3.21,0.8837,21402.78
PRD0000119,PLT001,2025-02-11,C25,25,96.31,268.18,172.48,784.69,1054.73,6.22,0.9285,18136.14
PRD0000120,PLT001,2025-02-11,C30,30,90.93,298.98,176.66,762.98,1002.86,4.3,0.9759,18111.9
PRD0000121,PLT001,2025-02-12,C40,40,111.67,366.86,162.36,760.15,1033.45,5.9,0.9677,25665.63
PRD0000122,PLT001,2025-02-12,C30,30,84.68,305.32,176.96,757.8,1048.21,5.54,0.9174,17113.04
PRD0000123,PLT001,2025-02-13,C30,30,116.37,278.11,168.11,751.11,1030.08,1.5,0.9234,23481.67
PRD0000124,PLT001,2025-02-13,C40,40,120.51,378.46,159.99,730.94,998.64,6.14,0.8931,28209.85
PRD0000125,PLT001,2025-02-14,C35,35,145.57,321.81,166.98,763.28,989.93,4.37,0.9088,31565.09
PRD0000126,PLT001,2025-02-14,C40,40,93.67,366.34,162.47,783.11,1021.04,4.16,0.9063,21857.54
PRD0000127,PLT001,2025-02-15,C35,35,134.3,320.82,168.92,749.69,977.49,5.03,0.9262,28997.41
PRD0000128,PLT001,2025-02-15,C25,25,118.24,257.1,183.48,775.8,977.87,4.9,0.8994,22423.83
PRD0000129,PLT001,2025-02-15,C35,35,142.54,334.6,168.48,804.86,1059.44,4.37,0.9223,30806.01
PRD0000130,PLT001,2025-02-16,C30,30,108.7,302.04,177.68,741.77,1007.57,5.26,0.9101,22005.44
PRD0000131,PLT001,2025-02-16,C25,25,126.64,250.07,175.82,769.47,982.96,6.23,0.8925,24057.71
PRD0000132,PLT001,2025-02-16,C35,35,87.54,332.04,169.26,761.3,1011.78,4.1,0.9317,18874.77
PRD0000133,PLT001,2025-02-17,C25,25,123.55,259.97,184.18,707.3,1009.07,1.88,0.9113,23364.75
PRD0000134,PLT001,2025-02-17,C35,35,114.46,335.92,165.77,747.49,1034.55,3.87,0.91,24812.02
PRD0000135,PLT001,2025-02-17,C40,40,127.72,365.61,156.95,776.94,991.36,5.67,0.9344,29598.51
PRD0000136,PLT001,2025-02-17,C40,40,98.17,363.78,160.44,773.56,991.33,5.03,0.8665,23129.9
PRD0000137,PLT001,2025-02-18,C25,25,79.7,262.67,179.39,796.8,1024.5,4.99,0.9141,15060.8
PRD0000138,PLT001,2025-02-18,C30,30,141.99,293.57,176.82,748.59,1053.97,3.73,0.9079,28761.23
PRD0000139,PLT001,2025-02-19,C40,40,108.3,359.52,160.91,755.08,986.56,4.22,0.8543,25591.68
PRD0000140,PLT001,2025-02-19,C25,25,171.8,262.6,180.25,745.34,1063.06,4.79,0.9047,32540.68
PRD0000141,PLT001,2025-02-20,C30,30,101.02,296.42,175.03,725.05,973.69,5.28,0.9003,20499.76
PRD0000142,PLT001,2025-02-20,C40,40,127.49,367.97,163.89,764.51,1000.32,5.97,0.9653,29319.75
PRD0000143,PLT001,2025-02-20,C30,30,134.86,304.2,169.58,775.35,1037.95,5.12,0.8716,27559.92
PRD0000144,PLT001,2025-02-21,C40,40,138.68,363.56,160.41,781.01,1064.62,4.17,0.8697,32648.89
PRD0000145,PLT001,2025-02-21,C40,40,111.74,367.7,160.01,788.34,1009.16,4.92,0.8754,26269.8
PRD0000146,PLT001,2025-02-21,C25,25,104.81,258.54,171.61,755.4,1011.9,6.63,0.9066,19843.16
PRD0000147,PLT001,2025-02-22,C35,35,94.91,330.22,167.64,794.54,1015.05,6.05,0.9122,20563.05
PRD0000148,PLT001,2025-02-22,C35,35,110.08,330.09,170.76,802.97,950.41,2.1,0.891,23973.72
PRD0000149,PLT001,2025-02-22,C40,40,101.55,366.64,157.75,785.48,1050.91,4.72,0.9437,23478.54
PRD0000150,PLT001,2025-02-23,C40,40,110.03,362.82,158.98,796.82,946.47,2.8,0.8685,25911.74
PRD0000151,PLT001,2025-02-23,C30,30,76.84,297.53,173.55,735.37,994.17,7.45,0.9731,15316.55
PRD0000152,PLT001,2025-02-24,C35,35,68.02,325.43,168.59,757.08,990.06,4.4,0.854,14946.85
PRD0000153,PLT001,2025-02-24,C40,40,119.18,364.94,154.49,726.99,1045.64,3.54,0.9322,27634.98
PRD0000154,PLT001,2025-02-24,C30,30,103.04,306.05,173.97,769.13,1038.39,4.33,0.9636,20588.24
PRD0000155,PLT001,2025-02-24,C30,30,152.54,293.65,169.71,809.01,983.16,3.39,0.962,30490.75
PRD0000156,PLT001,2025-02-24,C25,25,99.3,255.73,176.48,770.51,1016.93,3.72,0.8864,18892.92
PRD0000157,PLT001,2025-02-25,C30,30,116.55,284.09,169.49,782.17,1005.33,4.28,0.885,23739.24
PRD0000158,PLT001,2025-02-25,C25,25,60.5,262.47,183.13,730.12,1059.75,4.45,0.9552,11318.83
PRD0000159,PLT001,2025-02-25,C25,25,90.18,263.4,177.8,773.1,1041.86,3.81,0.9296,16977.04
PRD0000160,PLT001,2025-02-25,C40,40,83.95,368.42,162.47,762.16,1029.81,3.55,0.9109,19566.62
PRD0000161,PLT001,2025-02-26,C40,40,138.09,365.41,158.35,734.97,1070.51,3.86,0.9466,31905.9
PRD0000162,PLT001,2025-02-26,C25,25,70.23,255.22,181.21,755.71,973.22,5.66,0.9631,13112.57
PRD0000163,PLT001,2025-02-26,C30,30,96.17,306.0,175.39,779.36,1018.84,6.59,0.8931,19551.12
PRD0000164,PLT001,2025-02-26,C35,35,127.51,333.97,170.6,748.82,1018.51,4.36,0.8807,27837.47
PRD0000165,PLT001,2025-02-26,C25,25,143.81,260.14,177.6,796.23,1008.75,4.95,0.8882,27349.25
PRD0000166,PLT001,2025-02-27,C40,40,118.0,369.78,160.24,754.55,1055.81,1.9,0.8395,27983.8
PRD0000167,PLT001,2025-02-27,C35,35,115.51,331.02,166.24,726.84,1019.3,6.9,0.9388,24862.46
PRD0000168,PLT001,2025-02-27,C30,30,63.16,293.06,171.14,766.44,1045.36,2.61,0.8869,12858.95
PRD0000169,PLT001,2025-02-27,C40,40,111.18,350.12,156.01,707.89,1038.43,5.4,0.9012,25974.29
PRD0000170,PLT001,2025-02-28,C30,30,55.0,302.42,177.26,751.31,984.6,5.47,0.8864,11199.35
PRD0000171,PLT001,2025-02-28,C35,35,105.54,326.64,167.91,769.4,975.45,5.93,0.8834,23025.77
PRD0000172,PLT001,2025-02-28,C40,40,75.62,364.26,162.97,765.72,1049.02,4.85,0.8544,17868.18
PRD0000173,PLT001,2025-02-28,C30,30,86.36,302.81,177.63,781.91,1028.1,4.99,0.9751,17204.83
PRD0000174,PLT001,2025-02-28,C30,30,169.64,296.84,170.87,754.65,996.06,5.01,0.9254,34214.72
PRD0000175,PLT001,2025-03-01,C25,25,93.89,252.25,181.41,782.9,1016.73,4.2,0.9297,17674.96
PRD0000176,PLT001,2025-03-01,C25,25,120.26,257.73,183.67,750.59,1004.79,4.01,0.9011,22797.35
PRD0000177,PLT001,2025-03-01,C40,40,71.87,372.97,164.98,781.55,1008.61,4.95,0.8706,16916.5
PRD0000178,PLT001,2025-03-01,C25,25,76.68,262.19,182.22,780.73,1032.15,2.57,0.9091,14507.13
PRD0000179,PLT001,2025-03-02,C40,40,142.42,354.49,160.38,790.65,933.99,4.12,0.9042,33249.03
PRD0000180,PLT001,2025-03-02,C40,40,137.47,373.86,157.83,732.84,1030.09,3.4,0.8865,32233.28
PRD0000181,PLT001,2025-03-02,C30,30,68.83,291.54,179.73,806.56,1038.08,4.28,0.9301,13866.99
PRD0000182,PLT001,2025-03-02,C25,25,102.87,261.54,182.61,754.9,1005.25,3.8,0.9343,19343.91
PRD0000183,PLT001,2025-03-03,C35,35,121.29,338.21,164.59,749.53,1086.89,2.62,0.9541,26008.42
PRD0000184,PLT001,2025-03-03,C30,30,131.9,302.34,180.6,784.28,1020.84,4.24,0.9027,26751.83
PRD0000185,PLT001,2025-03-03,C25,25,113.99,264.47,178.92,737.21,1044.73,5.61,0.9329,21441.63
PRD0000186,PLT001,2025-03-03,C40,40,90.9,347.27,155.01,719.11,1027.11,4.4,0.8946,21271.25
PRD0000187,PLT001,2025-03-04,C35,35,95.38,331.74,177.3,769.01,978.28,6.23,0.905,20700.62
PRD0000188,PLT001,2025-03-04,C30,30,143.36,299.37,173.42,752.34,1002.2,4.11,0.9278,28897.64
PRD0000189,PLT001,2025-03-05,C30,30,107.49,305.78,172.1,817.49,1022.72,6.64,0.9225,21694.82
PRD0000190,PLT001,2025-03-05,C35,35,120.11,321.44,160.93,784.71,1021.21,2.96,0.8624,26340.09
PRD0000191,PLT001,2025-03-05,C30,30,112.41,299.02,183.38,788.13,1019.6,1.79,0.9033,22794.85
PRD0000192,PLT001,2025-03-05,C25,25,101.41,261.98,183.11,802.65,1033.5,5.18,0.914,19163.23
PRD0000193,PLT001,2025-03-05,C40,40,92.19,361.3,159.91,781.95,978.81,4.89,0.9163,21459.68
PRD0000194,PLT001,2025-03-06,C35,35,86.42,334.27,163.27,751.16,986.88,4.89,0.8697,18918.2
PRD0000195,PLT001,2025-03-06,C30,30,96.26,287.36,174.83,793.13,1029.91,4.25,0.9275,19404.89
PRD0000196,PLT001,2025-03-06,C40,40,153.95,353.02,153.27,763.31,1022.04,5.16,0.9413,35614.21
PRD0000197,PLT001,2025-03-06,C35,35,94.27,313.5,167.06,792.8,1010.54,2.18,0.8656,20657.24
PRD0000198,PLT001,2025-03-07,C40,40,100.66,368.7,162.22,786.97,1055.96,4.3,0.8353,23895.98
PRD0000199,PLT001,2025-03-07,C40,40,116.81,369.5,153.25,784.54,985.06,6.91,0.8764,27454.7
PRD0000200,PLT001,2025-03-07,C40,40,143.36,373.18,159.05,753.48,1045.2,4.78,0.9063,33451.56
PRD0000201,PLT001,2025-03-07,C40,40,70.82,360.65,157.67,739.92,1036.54,4.97,0.8552,16732.56
PRD0000202,PLT001,2025-03-07,C40,40,79.73,364.13,158.43,744.29,998.14,5.43,0.9383,18458.73
PRD0000203,PLT001,2025-03-09,C40,40,89.32,355.48,160.1,744.13,985.1,4.69,0.9355,20692.01
PRD0000204,PLT001,2025-03-09,C40,40,105.16,365.18,164.12,768.54,1019.61,2.76,0.8658,24781.13
PRD0000205,PLT001,2025-03-09,C30,30,117.61,299.28,168.52,789.74,1015.41,5.16,0.8854,23953.17
PRD0000206,PLT001,2025-03-10,C25,25,130.74,258.96,177.08,735.38,1006.33,2.84,0.8607,25029.67
PRD0000207,PLT001,2025-03-10,C30,30,118.32,293.59,174.78,771.31,1029.63,4.79,0.9652,23630.12
PRD0000208,PLT001,2025-03-10,C40,40,137.82,366.17,159.13,724.46,1010.63,6.13,0.9278,31990.25
PRD0000209,PLT001,2025-03-10,C25,25,101.56,255.93,182.13,767.21,1012.43,4.45,0.9128,19197.74
PRD0000210,PLT001,2025-03-10,C40,40,70.91,369.57,164.7,768.1,997.19,5.19,0.9116,16523.8
PRD0000211,PLT001,2025-03-11,C30,30,134.91,292.68,171.68,701.39,1067.71,4.95,0.9477,27060.31
PRD0000212,PLT001,2025-03-11,C40,40,113.21,370.84,160.03,759.57,1028.49,5.8,0.8482,26791.48
PRD0000213,PLT001,2025-03-12,C35,35,77.64,330.32,167.52,772.58,947.58,5.28,0.8578,17043.92
PRD0000214,PLT001,2025-03-12,C35,35,106.07,327.69,167.05,742.65,1004.8,6.03,0.9288,22887.18
PRD0000215,PLT001,2025-03-13,C40,40,118.55,358.4,159.59,716.0,1042.55,4.65,0.98,27163.73
PRD0000216,PLT001,2025-03-13,C25,25,149.56,261.69,177.21,789.78,999.11,4.77,0.9101,28291.1
PRD0000217,PLT001,2025-03-13,C35,35,74.84,335.93,169.46,763.38,1033.5,4.23,0.8535,16447.91
PRD0000218,PLT001,2025-03-13,C30,30,94.03,307.37,172.44,752.98,974.98,3.27,0.8912,19123.98
PRD0000219,PLT001,2025-03-14,C30,30,98.16,290.56,169.47,766.2,1015.76,5.55,0.8913,19963.33
PRD0000220,PLT001,2025-03-14,C25,25,113.93,249.57,180.81,728.77,1032.31,3.94,0.98,21181.57
PRD0000221,PLT001,2025-03-14,C35,35,85.19,341.42,166.19,747.66,1024.24,1.71,0.9183,18428.14
PRD0000222,PLT001,2025-03-15,C25,25,106.39,253.92,180.51,745.48,951.73,5.27,0.906,20145.06
PRD0000223,PLT001,2025-03-15,C35,35,98.37,326.02,175.69,775.16,979.85,5.76,0.8611,21579.72
PRD0000224,PLT001,2025-03-15,C40,40,134.8,365.23,159.64,762.44,991.78,3.86,0.9126,31406.64
PRD0000225,PLT001,2025-03-16,C35,35,78.28,325.08,168.45,747.09,1047.44,2.86,0.9034,16995.51
PRD0000226,PLT001,2025-03-16,C30,30,142.5,296.54,176.26,772.66,980.65,5.31,0.8829,29041.63
PRD0000227,PLT001,2025-03-16,C25,25,99.18,256.61,184.4,782.32,996.76,3.76,0.887,18866.81
PRD0000228,PLT001,2025-03-17,C35,35,147.62,325.33,165.48,816.69,989.08,4.58,0.8688,32321.4
PRD0000229,PLT001,2025-03-17,C35,35,86.86,346.86,166.19,756.39,983.5,5.51,0.8779,18976.18
PRD0000230,PLT001,2025-03-17,C25,25,111.58,251.92,180.84,727.62,1071.18,5.84,0.9204,21053.95
PRD0000231,PLT001,2025-03-18,C35,35,142.17,334.13,172.85,780.23,1022.86,1.58,0.8756,31077.94
PRD0000232,PLT001,2025-03-18,C40,40,74.98,366.64,158.8,767.54,1050.47,2.51,0.9097,17480.27
PRD0000233,PLT001,2025-03-18,C40,40,69.25,362.34,159.84,751.86,1010.18,4.32,0.8903,16222.67
PRD0000234,PLT001,2025-03-18,C25,25,103.3,260.0,180.16,749.76,1022.77,2.19,0.9267,19461.21
PRD0000235,PLT001,2025-03-19,C30,30,67.04,297.23,177.66,710.65,1028.21,4.49,0.916,13552.43
